Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51122895,"The New Map: Energy, Climate, and the Clash of Nations",Daniel Yergin,"Yergin, Daniel",,"=""1594206430""","=""9781594206436""",0,4.20,Penguin Press,Hardcover,512,2020,2020,,2023/04/15,to-read,to-read (#60),to-read,,,,0,0
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",0,4.11,Twelve,Kindle Edition,273,2012,2012,,2023/01/09,to-read,to-read (#59),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.16,Knopf,Hardcover,401,2022,2022,,2022/10/22,to-read,to-read (#58),to-read,,,,0,0
280652,Millennials Rising: The Next Great Generation,Neil Howe,"Howe, Neil",William Strauss,"=""0375707190""","=""9780375707193""",0,3.62,Vintage,Paperback,432,2000,2000,,2022/10/16,to-read,to-read (#57),to-read,,,,0,0
183651,Generations,William Strauss,"Strauss, William",Neil Howe,"=""0688119123""","=""9780688119126""",0,4.18,William Morrow,Paperback,538,1992,1991,,2022/10/16,to-read,to-read (#56),to-read,,,,0,0
42778728,Disunited Nations: Succeeding in a World Where No One Gets Along,Peter Zeihan,"Zeihan, Peter",,"=""0062913697""","=""9780062913692""",0,4.25,HarperBusiness,ebook,256,2019,2020,,2022/10/16,,,read,,,,1,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",0,4.11,Time Warner Books UK,Paperback,195,2001,1997,,2019/09/02,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.35,Avery,Kindle Edition,319,2018,2018,,2020/05/20,,,read,,,,1,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",0,4.41,Random House,Hardcover,272,2019,2019,,2020/06/07,,,read,,,,1,0
82256,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,"Davidson, James Dale",William Rees-Mogg,"=""0684832720""","=""9780684832722""",0,4.20,Touchstone,Paperback,448,1999,1997,,2022/01/04,currently-reading,currently-reading (#4),currently-reading,,,,1,0
53547017,How I Trade and Invest In Stocks and Bonds (Illustrated): Being Some Methods Evolved and Adopted During My Thirty-three Years Experience in Wall Street,Richard Wyckoff,"Wyckoff, Richard",,"=""""","=""""",5,4.33,Peachtree Publishing,Kindle Edition,101,2020,,2021/08/18,2021/08/18,,,read,,,,1,0
40941455,Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,Antonio García Martínez,"Martínez, Antonio García",,"=""""","=""""",5,3.71,Harper Paperbacks,Kindle Edition,528,2018,2016,2021/07/04,2021/05/23,,,read,,,,1,0
12329637,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""""","=""""",5,4.13,,Kindle Edition,336,,2011,2021/06/15,2021/04/19,,,read,,,,1,0
44649332,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew    Skelton,"Skelton, Matthew",,"=""""","=""""",0,4.21,IT Revolution Press,Kindle Edition,274,2019,2019,,2021/05/06,currently-reading,currently-reading (#3),currently-reading,,,,1,0
42754169,Reboot: Leadership and the Art of Growing Up,Jerry  Colonna,"Colonna, Jerry",,"=""""","=""""",5,3.91,Harper Business,Kindle Edition,293,2019,2019,2021/04/14,2021/04/03,,,read,,,,1,0
12902053,Finite and Infinite Games,James P. Carse,"Carse, James P.",,"=""""","=""""",0,3.77,,Kindle Edition,119,,1986,,2021/04/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0307269191""","=""9780307269195""",5,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,2020/08/12,2020/05/31,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",5,4.17,Ecco,Hardcover,392,2015,2015,2020/08/09,2020/06/07,,,read,,,,1,0
45303387,An Elegant Puzzle: Systems of Engineering Management,Will Larson,"Larson, Will",,"=""1953953336""","=""9781953953339""",5,4.10,Stripe Press,Kindle Edition,289,2019,2019,2021/04/03,2021/03/30,,,read,,,,1,0
4030991,Shoe Dog,Phil Knight,"Knight, Phil",,"=""""","=""""",5,4.47,Scribner,Kindle Edition,402,2016,2016,2021/03/11,2019/09/02,,,read,,,,1,0
112160,Lore of Running,Tim Noakes,"Noakes, Tim",,"=""0873229592""","=""9780873229593""",0,4.16,Human Kinetics,Paperback,943,2002,1987,,2020/08/17,to-read,to-read (#55),to-read,,,,0,0
41817453,The Rise of the Ultra Runners: A Journey to the Edge of Human Endurance,Adharanand Finn,"Finn, Adharanand",,"=""1643131354""","=""9781643131351""",0,4.37,Pegasus Books,Hardcover,304,2019,2019,,2020/08/17,to-read,to-read (#54),to-read,,,,0,0
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",0,4.31,Knopf,Hardcover,287,2009,2009,,2020/08/17,to-read,to-read (#53),to-read,,,,0,0
10814,Here Is New York,E.B. White,"White, E.B.","Roger Angell, Barbara Cohen, Judith Stonehill","=""1892145022""","=""9781892145024""",0,4.29,The Little Bookroom,Hardcover,56,2000,1948,,2020/06/07,to-read,to-read (#52),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2020/06/07,to-read,to-read (#51),to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.01,"Little, Brown and Company",Hardcover,388,2019,2019,,2020/06/07,to-read,to-read (#50),to-read,,,,0,0
759945,The Magic of Thinking Big,David J. Schwartz,"Schwartz, David J.",,"=""0671646788""","=""9780671646783""",0,4.26,Touchstone,Paperback,238,1987,1959,,2020/05/30,to-read,to-read (#49),to-read,,,,0,0
313605,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"Fisher, Roger","William Ury, Bruce Patton","=""0140157352""","=""9780140157352""",5,3.95,Penguin Group,Paperback,200,1992,1981,,2020/05/30,,,read,,,,1,0
4122,"Built to Last: Successful Habits of Visionary Companies (Good to Great, 2)",James C. Collins,"Collins, James C.","Jim Collins, Jerry I. Porras","=""0060566108""","=""9780060566104""",5,4.06,Harper Business,Hardcover,368,2004,1994,,2020/05/17,,,read,,,,1,0
46183582,Golden Gates: Fighting for Housing in America,Conor Dougherty,"Dougherty, Conor",,"=""0525560211""","=""9780525560210""",0,4.07,Penguin Press,Hardcover,288,2020,2020,,2020/04/19,marc-andreesen,marc-andreesen (#9),read,,,,0,0
9897152,"Triumph of the City: How Our Greatest Invention Makes Us Richer, Smarter, Greener, Healthier and Happier",Edward L. Glaeser,"Glaeser, Edward L.",,"=""159420277X""","=""9781594202773""",0,3.92,Penguin Press,Hardcover,352,2011,2011,,2020/04/19,marc-andreesen,marc-andreesen (#8),read,,,,0,0
43984882,Edison,Edmund Morris,"Morris, Edmund",,"=""081299311X""","=""9780812993110""",0,3.54,Random House,Hardcover,800,2019,2019,,2020/04/19,marc-andreesen,marc-andreesen (#7),read,,,,0,0
16127,"The Tycoons: How Andrew Carnegie, John D. Rockefeller, Jay Gould and J.P. Morgan Invented the American Supereconomy",Charles R. Morris,"Morris, Charles R.",,"=""0805081348""","=""9780805081343""",0,3.75,Holt Paperbacks,Paperback,400,2006,2005,,2020/04/19,marc-andreesen,marc-andreesen (#6),read,,,,0,0
566004,Naked Nomads: Unmarried Men in America,George Gilder,"Gilder, George",,"=""0812904958""","=""9780812904956""",0,3.73,Quadrangle/New York Times Book Co,Hardcover,180,1974,1974,,2020/04/19,marc-andreesen,marc-andreesen (#5),read,,,,0,0
1225915,Recapturing Spirit of Enterprise,George Gilder,"Gilder, George",,"=""1558152016""","=""9781558152014""",0,4.00,Ics Pr,Paperback,275,1992,1992,,2020/04/19,marc-andreesen,marc-andreesen (#4),read,,,,0,0
381339,"The Power of Productivity: Wealth, Poverty, and the Threat to Global Stability",William W. Lewis,"Lewis, William W.",,"=""0226476766""","=""9780226476766""",0,3.98,University of Chicago Press,Hardcover,370,2004,2004,,2020/04/19,marc-andreesen,marc-andreesen (#3),read,,,,0,0
